timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1755966600,Aug 23 2025 - 4:30pm,complete,N/A,Genoa,Lecce,N/A,1,0.00,0.00,0.33,1.33,0,0,0,0,0,0,"","",3,7,2,0,3,0,0,2,2,1,5,7,2,0,3,7,16,13,59,41,0.00,0.00,0.70,0.76,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.75,3.30,4.40,1.43,2.35,4.80,8.90,1.93,1.75,Stadio Comunale Luigi Ferraris
1755966600,Aug 23 2025 - 4:30pm,complete,N/A,Sassuolo,Napoli,N/A,1,0.00,0.00,2.00,2.00,0,2,2,1,0,1,"","17,57",1,2,2,1,1,0,0,3,0,1,7,13,2,4,5,9,17,17,38,62,0.00,0.00,0.77,1.32,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,5.50,3.50,1.55,1.30,2.04,3.50,7.50,1.85,1.83,MAPEI Stadium - Città del Tricolore
1755974700,Aug 23 2025 - 6:45pm,complete,N/A,AC Milan,Cremonese,N/A,1,0.00,0.00,2.00,1.25,1,2,3,2,1,1,"45'1","28,61",9,2,1,0,4,0,0,1,0,4,24,4,6,3,18,1,10,14,64,36,0.00,0.00,2.48,0.68,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.38,5.25,8.50,1.24,1.72,2.80,5.00,2.16,1.80,Stadio Giuseppe Meazza
1755974700,Aug 23 2025 - 6:45pm,complete,N/A,Roma,Bologna,N/A,1,0.00,0.00,2.00,0.33,1,0,1,0,0,0,"53","",2,4,1,0,1,0,0,1,1,0,14,10,4,2,10,8,15,13,51,49,0.00,0.00,1.43,0.92,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.09,3.20,3.60,1.40,2.20,4.20,8.50,1.83,1.83,Stadio Olimpico
1756053000,Aug 24 2025 - 4:30pm,complete,N/A,Cagliari,Fiorentina,N/A,1,0.00,0.00,1.33,1.00,1,1,2,0,0,0,"90'4","68",3,2,4,0,2,0,2,2,0,2,14,4,6,1,8,3,18,14,45,55,0.00,0.00,1.57,0.56,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.95,3.00,2.26,1.32,2.00,4.33,7.00,1.80,1.95,Sardegna Arena
1756053000,Aug 24 2025 - 4:30pm,complete,N/A,Como,Lazio,N/A,1,0.00,0.00,1.67,1.00,2,0,2,0,0,0,"73,47","",6,0,2,0,3,0,2,0,1,2,19,5,6,1,13,4,15,12,63,37,0.00,0.00,2.05,0.56,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.39,3.30,2.93,1.27,1.95,3.40,7.00,1.77,1.93,Stadio Giuseppe Sinigaglia
1756061100,Aug 24 2025 - 6:45pm,complete,N/A,Atalanta,Pisa,N/A,1,0.00,0.00,1.67,0.33,1,1,2,1,0,1,"50","26",10,4,2,0,0,0,1,1,0,0,21,11,6,2,15,9,9,10,66,34,0.00,0.00,2.26,1.05,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.29,4.70,7.25,1.20,1.73,2.85,5.50,1.91,1.80,Stadio Atleti Azzurri d'Italia
1756061100,Aug 24 2025 - 6:45pm,complete,N/A,Juventus,Parma,N/A,1,0.00,0.00,2.00,0.33,2,0,2,0,0,0,"59,84","",6,6,1,1,2,0,1,1,0,2,25,8,8,2,17,6,9,13,64,36,0.00,0.00,2.60,0.87,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.34,4.72,8.50,1.28,1.78,3.20,7.54,1.83,1.75,N/A
1756139400,Aug 25 2025 - 4:30pm,complete,N/A,Udinese,Hellas Verona,N/A,1,0.00,0.00,0.67,0.33,1,1,2,0,0,0,"53","73",5,1,3,0,2,0,1,2,0,2,14,9,4,3,10,6,10,14,63,37,0.00,0.00,1.48,0.96,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.74,3.25,4.45,1.38,2.56,3.80,8.00,1.95,1.83,Dacia Arena
1756147500,Aug 25 2025 - 6:45pm,complete,N/A,Inter Milan,Torino,N/A,1,0.00,0.00,2.25,1.00,5,0,5,2,2,0,"72,36,18,51,62","",6,5,0,0,0,0,0,0,0,0,20,12,9,4,11,8,14,6,60,40,0.00,0.00,2.18,1.23,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.37,5.00,7.50,1.18,1.66,2.71,4.75,1.83,1.85,Stadio Giuseppe Meazza
