team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,xg_against_avg_overall,xg_against_avg_home,xg_against_avg_away,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90,draw_percentage_overall,draw_percentage_home,draw_percentage_away,loss_percentage_ovearll,loss_percentage_home,loss_percentage_away,over145_corners_percentage
SSC Napoli,Napoli,2025/2026,Italy,6,3,3,0,5,3,2,0,0,0,1,0,1,2.5,3,2,1,3,3,1,12,6,6,18,9,9,6,6,3,3,3,3,45,45,45,90,90,90,2,1,1,4,2,2,0,0,0,4,2,2,39,25,14,5,4,1,62,67,57,96,50,46,37,17,20,59,33,26,80,42,38,4,1,3,3,1,2,1,0,1,3,1,2,1,1,0,2,1,1,1.67,1.33,2,3,3,3,2,2,2,1,1,1,1.17,0.67,1.67,0.67,0.33,1,0.5,0.33,0.67,6,5,4,2,1,0,3,2,2,1,1,0,3,3,2,1,0,0,0,1,2,4,5,6,0,1,1,2,2,3,0,0,1,2,3,3,100,83,67,33,17,0,100,67,67,33,33,0,100,100,67,33,0,0,0,17,33,67,83,100,0,33,33,67,67,100,0,0,33,67,100,100,5,2,0,2,0,0,3,2,0,83,33,0,67,0,0,100,67,0,83,100,67,0,33,33,33,67,67,67,0,0,0,67,67,67,4,2,2,67,67,67,3,2,1,50,67,33,0,0,0,0,0,0,50,33,67,17,33,0,33,33,33,6.50,8.33,4.67,0.83,1.33,0.33,83,83,50,50,50,50,33,0,1.82,1.87,1.76,1.04,1.00,1.07,83,1,2,0,1,0,4,0,2,2,1,0,0,2,0,1,0,1,1,0,0,0,17,0,33,0
Juventus FC,Juventus,2025/2026,Italy,6,4,2,0,3,2,1,3,2,1,0,0,0,2,2,2,5,4,7,5,9,5,4,14,11,3,7,2,4,1,3,1,60,51,90,108,90,180,3,2,1,3,2,1,1,1,0,4,2,2,38,31,7,12,7,5,59,56,64,96,73,23,32,25,7,64,48,16,69,44,25,3,2,1,3,2,1,0,0,0,1,1,0,4,2,2,1,1,0,1.17,1.25,1,2.33,2.75,1.5,1.5,1.75,1,0.83,1,0.5,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,5,4,1,1,1,1,3,3,1,1,1,1,2,1,0,0,0,0,1,2,5,5,5,5,1,1,3,3,3,3,0,1,2,2,2,2,83,67,17,17,17,17,75,75,25,25,25,25,100,50,0,0,0,0,17,33,83,83,83,83,25,25,75,75,75,75,0,50,100,100,100,100,3,2,1,2,1,1,1,1,0,50,33,17,50,25,25,50,50,0,50,50,50,-2,50,50,50,50,50,50,17,25,0,67,50,100,3,2,1,50,50,50,4,3,1,67,75,50,2,1,1,33,25,50,17,25,0,67,50,100,17,25,0,6.33,7.75,3.50,2,1.75,2.50,83,67,50,50,50,50,33,33,1.79,2.02,1.33,1.24,1.29,1.15,50,0,2,0,1,0,1,0,2,3,0,0,1,0,2,0,1,1,0,50,50,50,0,0,0,17
AS Roma,Roma,2025/2026,Italy,6,3,3,0,5,2,3,0,0,0,1,1,0,2.5,2,3,2,5,1,2,7,2,5,9,4,5,3,4,1,1,2,3,77,90,68,273,273,273,4,2,2,1,0,1,1,1,0,4,2,2,34,17,17,8,3,5,59,60,58,77,46,31,28,14,14,49,32,17,90,37,53,4,1,3,1,0,1,3,1,2,3,1,2,3,2,1,0,0,0,2,1.67,2.33,1.5,1.33,1.67,1.17,1,1.33,0.33,0.33,0.33,0.83,0.33,1.33,0.67,0.33,1,0.17,0,0.33,6,2,1,0,0,0,3,1,0,0,0,0,3,1,1,0,0,0,0,4,5,6,6,6,0,2,3,3,3,3,0,2,2,3,3,3,100,33,17,0,0,0,100,33,0,0,0,0,100,33,33,0,0,0,0,67,83,100,100,100,0,67,100,100,100,100,0,67,67,100,100,100,3,1,1,1,0,0,2,1,1,50,17,17,33,0,0,67,33,33,83,67,100,0,67,67,67,17,0,33,17,33,0,67,67,67,5,3,2,83,100,67,3,2,1,50,67,33,1,0,1,17,0,33,50,33,67,50,67,33,0,0,0,5.67,5.67,5.67,1.33,1,1.67,83,67,50,17,17,0,0,0,1.51,1.68,1.35,1.03,1.07,0.99,33,1,0,2,1,0,2,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,17,33,0,0
Cagliari Calcio,Cagliari,2025/2026,Italy,6,3,3,0,2,1,1,2,1,1,2,1,1,1.33,1.33,1.33,11,12,8,11,6,6,0,12,6,6,3,3,3,3,0,0,90,90,90,90,90,90,1,1,0,3,1,2,2,1,1,2,1,1,20,11,9,13,7,6,43,46,40,65,32,33,20,11,9,45,21,24,93,46,47,3,1,2,2,1,1,1,0,1,2,1,1,3,1,2,1,1,0,1.5,1.33,1.67,2,2,2,1,1,1,1,1,1,0.83,0.67,1,0.5,0.33,0.67,0.33,0.33,0.33,6,5,1,0,0,0,3,3,0,0,0,0,3,2,1,0,0,0,0,1,5,6,6,6,0,0,3,3,3,3,0,1,2,3,3,3,100,83,17,0,0,0,100,100,0,0,0,0,100,67,33,0,0,0,0,17,83,100,100,100,0,0,100,100,100,100,0,33,67,100,100,100,4,1,0,2,0,0,2,1,0,67,17,0,67,0,0,67,33,0,33,33,33,0,17,33,0,50,33,67,33,33,33,33,33,33,4,2,2,67,67,67,3,2,1,50,67,33,1,0,1,17,0,33,33,33,33,50,33,67,17,33,0,3.33,3.67,3.00,2.17,2.33,2.00,83,83,67,33,33,17,17,0,1.13,1.18,1.08,1.69,1.46,1.92,17,0,0,1,2,0,0,0,2,1,2,0,0,0,0,1,1,0,2,33,33,33,33,33,33,0
Torino FC,Torino,2025/2026,Italy,6,2,4,0,1,0,1,2,1,1,3,1,2,0.83,0.5,1,16,17,11,16,5,13,-8,18,3,15,0,5,3,10,-3,-5,108,0,72,41,60,36,2,1,1,2,0,2,3,2,1,2,0,2,25,8,17,11,2,9,44,42,45,69,18,51,29,9,20,40,9,31,89,32,57,1,0,1,8,3,5,-7,-3,-4,0,0,0,2,1,1,4,1,3,0.33,0.5,0.25,3,1.5,3.75,0.83,0,1.25,2.17,1.5,2.5,1.5,1.5,1.5,0.17,0,0.25,1.33,1.5,1.25,5,4,4,2,2,1,1,1,1,0,0,0,4,3,3,2,2,1,1,2,2,4,4,5,1,1,1,2,2,2,0,1,1,2,2,3,83,67,67,33,33,17,50,50,50,0,0,0,100,75,75,50,50,25,17,33,33,67,67,83,50,50,50,100,100,100,0,25,25,50,50,75,4,3,2,1,1,1,3,2,1,67,50,33,50,50,50,75,50,25,17,0,25,-35,33,50,25,33,0,50,50,100,25,33,0,50,2,1,1,33,50,25,5,2,3,83,100,75,1,0,1,17,0,25,0,0,0,33,50,25,67,50,75,4.17,4.00,4.25,1.83,1,2.25,83,67,50,50,33,0,0,0,1.33,1.17,1.41,1.59,1.35,1.71,83,0,1,0,0,1,1,0,1,1,0,1,2,5,0,1,1,2,1,33,50,25,50,50,50,0
Genoa CFC,Genoa,2025/2026,Italy,6,3,3,0,0,0,0,2,1,1,4,2,2,0.33,0.33,0.33,19,19,17,19,3,9,-6,12,4,8,0,3,4,5,-4,-2,180,0,90,60,68,54,1,1,0,3,0,3,3,3,0,2,0,2,27,12,15,18,8,10,48,56,40,57,32,25,19,8,11,38,24,14,95,48,47,1,0,1,3,2,1,-2,-2,0,1,0,1,3,2,1,2,1,1,1,0.67,1.33,2,1.33,2.67,0.5,0,1,1.5,1.33,1.67,0.67,0.67,0.67,0.17,0,0.33,0.5,0.67,0.33,5,4,3,0,0,0,2,1,1,0,0,0,3,3,2,0,0,0,1,2,3,6,6,6,1,2,2,3,3,3,0,0,1,3,3,3,83,67,50,0,0,0,67,33,33,0,0,0,100,100,67,0,0,0,17,33,50,100,100,100,33,67,67,100,100,100,0,0,33,100,100,100,3,1,0,1,1,0,2,0,0,50,17,0,33,33,0,67,0,0,0,0,0,-45,17,33,0,50,0,100,50,100,0,33,0,67,4,2,2,67,67,67,5,3,2,83,100,67,0,0,0,0,0,0,17,0,33,50,67,33,33,33,33,4.50,4.00,5.00,3,2.67,3.33,83,67,50,50,17,17,0,0,1.05,1.12,0.98,1.32,1.14,1.50,33,0,0,0,1,0,0,1,0,1,1,1,1,0,0,1,1,3,1,33,33,33,67,67,67,0
AC Milan,AC Milan,2025/2026,Italy,6,3,3,0,4,2,2,1,0,1,1,1,0,2.17,2,2.33,3,6,2,3,9,3,6,12,7,5,4,5,3,0,1,5,60,68,54,180,90,0,4,1,3,2,2,0,1,0,1,4,2,2,26,17,9,9,7,2,51,47,55,84,44,40,28,12,16,56,32,24,57,34,23,4,3,1,1,1,0,3,2,1,2,1,1,4,2,2,0,0,0,1.67,1.67,1.67,2,2.33,1.67,1.5,1.33,1.67,0.5,1,0,0.83,1.33,0.33,0.67,1,0.33,0.17,0.33,0,5,4,3,0,0,0,3,2,2,0,0,0,2,2,1,0,0,0,1,2,3,6,6,6,0,1,1,3,3,3,1,1,2,3,3,3,83,67,50,0,0,0,100,67,67,0,0,0,67,67,33,0,0,0,17,33,50,100,100,100,0,33,33,100,100,100,33,33,67,100,100,100,3,2,0,2,2,0,1,0,0,50,33,0,67,67,0,33,0,0,67,67,67,-56,67,33,100,33,67,0,17,0,33,67,67,67,5,2,3,83,67,100,3,1,2,50,33,67,1,1,0,17,33,0,33,33,33,67,67,67,0,0,0,4.33,5.67,3.00,1.5,2.33,0.67,67,67,50,33,33,0,0,0,1.49,1.50,1.49,1.16,1.15,1.17,33,1,0,0,2,2,1,2,0,1,0,0,1,0,0,1,1,0,0,17,0,33,17,33,0,0
SS Lazio,Lazio,2025/2026,Italy,6,3,3,0,2,1,1,1,1,0,3,1,2,1.17,1.33,1,13,10,14,13,10,7,3,17,11,6,7,3,4,3,3,0,54,39,90,77,68,90,2,1,1,1,1,0,3,1,2,2,1,1,21,14,7,15,8,7,50,56,44,68,41,27,22,12,10,46,29,17,74,35,39,7,5,2,2,2,0,5,3,2,3,2,1,2,0,2,1,1,0,1.83,2,1.67,2.83,3.67,2,1.67,2.33,1,1.17,1.33,1,1.5,2.33,0.67,1.17,1.67,0.67,0.33,0.67,0,6,4,3,2,1,1,3,2,2,2,1,1,3,2,1,0,0,0,0,2,3,4,5,5,0,1,1,1,2,2,0,1,2,3,3,3,100,67,50,33,17,17,100,67,67,67,33,33,100,67,33,0,0,0,0,33,50,67,83,83,0,33,33,33,67,67,0,33,67,100,100,100,4,3,2,3,2,2,1,1,0,67,50,33,100,67,67,33,33,0,33,33,33,13,33,33,33,17,33,0,50,33,67,33,33,33,4,1,3,67,33,100,3,1,2,50,33,67,1,1,0,17,33,0,50,67,33,33,0,67,17,33,0,3.50,4.67,2.33,2.5,2.67,2.33,67,67,50,17,0,0,0,0,1.27,1.43,1.11,1.58,1.54,1.62,33,3,0,2,1,1,0,1,0,2,0,1,0,1,1,0,1,2,1,17,33,0,50,33,67,0
Bologna FC 1909,Bologna,2025/2026,Italy,6,3,3,0,3,3,0,1,0,1,2,0,2,1.67,3,0.33,7,2,16,7,9,5,4,14,8,6,7,2,1,4,6,-2,60,39,134,108,273,68,2,2,0,2,1,1,2,0,2,2,2,0,34,17,17,10,5,5,57,55,59,82,53,29,22,15,7,60,38,22,83,41,42,4,3,1,1,0,1,3,3,0,1,1,0,5,2,3,0,0,0,1.33,1.67,1,2.33,2.67,2,1.5,2.33,0.67,0.83,0.33,1.33,0.83,1,0.67,0.67,1,0.33,0.17,0,0.33,6,3,3,2,0,0,3,2,2,1,0,0,3,1,1,1,0,0,0,3,3,4,6,6,0,1,1,2,3,3,0,2,2,2,3,3,100,50,50,33,0,0,100,67,67,33,0,0,100,33,33,33,0,0,0,50,50,67,100,100,0,33,33,67,100,100,0,67,67,67,100,100,2,2,1,1,1,1,1,1,0,33,33,17,33,33,33,33,33,0,50,100,0,58,33,67,0,33,33,33,33,0,67,33,67,0,5,3,2,83,100,67,4,2,2,67,67,67,1,0,1,17,0,33,17,33,0,83,67,100,0,0,0,5.67,5.67,5.67,1.67,1.67,1.67,67,67,67,67,50,17,0,0,1.41,1.81,1.01,1.07,0.80,1.33,17,0,0,1,2,1,2,0,2,1,0,1,0,0,0,1,2,0,1,17,0,33,33,0,67,0
US Sassuolo Calcio,Sassuolo,2025/2026,Italy,6,3,3,0,3,2,1,0,0,0,3,1,2,1.5,2,1,9,7,15,9,8,8,0,16,7,9,4,4,3,5,1,-1,68,68,68,68,90,54,2,1,1,3,1,2,1,1,0,3,2,1,14,5,9,15,9,6,44,41,46,57,28,29,24,10,14,33,18,15,74,37,37,2,2,0,4,1,3,-2,1,-3,1,1,0,2,1,1,3,1,2,0.83,1.33,0.33,2.67,2.33,3,1.33,1.33,1.33,1.33,1,1.67,1,1,1,0.33,0.67,0,0.67,0.33,1,6,4,3,2,1,0,3,2,1,1,0,0,3,2,2,1,1,0,0,2,3,4,5,6,0,1,2,2,3,3,0,1,1,2,2,3,100,67,50,33,17,0,100,67,33,33,0,0,100,67,67,33,33,0,0,33,50,67,83,100,0,33,67,67,100,100,0,33,33,67,67,100,4,2,0,2,1,0,2,1,0,67,33,0,67,33,0,67,33,0,50,67,33,13,33,33,33,50,33,67,17,33,0,50,67,33,3,2,1,50,67,33,5,2,3,83,67,100,0,0,0,0,0,0,17,33,0,33,33,33,50,33,67,2.33,1.67,3.00,2.5,3,2.00,50,50,50,33,0,0,0,0,1.12,1.07,1.16,1.64,1.38,1.90,83,1,1,0,0,0,0,2,2,2,0,2,0,2,0,2,0,0,2,0,0,0,50,33,67,0
